,actor_1_name,director_name
2164,Raoul Bova,Audrey Wells
2165,Emma Stone,Alejandro G. Iñárritu
2166,Nicolas Cage,Francis Ford Coppola
2167,Kristin Scott Thomas,Robert Altman
2168,Sally Hawkins,Woody Allen
2169,Christian Clemenson,Paul Greengrass
2170,Christian Monzon,Bille Woodruff
2171,Hulk Hogan,Rick Friedberg
2172,Mako,Richard Fleischer
2173,Olivia Wilde,Jessie Nelson
2174,Bob Newhart,Mike Nichols
2175,Collette Wolfe,Jody Hill
2176,Robert De Niro,Martin Scorsese
2177,Judy Greer,Brandon Camp
2178,Kelsey Grammer,Kevin Tancharoen
2179,Nicholas Rowe,Barry Levinson
2180,James Franco,Danny Boyle
2181,Woody Allen,Woody Allen
2182,Amanda Schull,Nicholas Hytner
2183,Kristen Stewart,Bart Freundlich
2184,Ian Somerhalder,Irwin Winkler
2185,Steve Buscemi,Miguel Arteta
2186,Yaya DaCosta,Rob Reiner
2187,Alan Ruck,Chris Columbus
2188,Nancy Allen,Brian De Palma
2189,Daniel Radcliffe,John Boorman
2190,Jason Robards,William A. Fraker
2191,J.K. Simmons,Jason Reitman
2192,Rebecca Budig,Courtney Solomon
2193,Joan Allen,Ang Lee
2194,Miriam Margolyes,István Szabó
2195,Craig T. Nelson,Jeff Kanew
2196,Ricardo Darín,Fabián Bielinsky
2197,David Masterson,Michael Hoffman
2198,Ian McDiarmid,Matthew Robbins
2199,Johnny Depp,Tim Burton
2200,Tom Hardy,Guy Ritchie
2201,Barry Bostwick,Hal Needham
2202,Bruce Greenwood,Bruce Beresford
2203,Jeremy Irvine,Jonathan Teplitzky
